service_date,day_type,bus,rail_boardings,total_rides
08/15/2005,W,892308,574348,1466656
07/18/2021,U,226558,191007,417565
12/26/2002,W,661076,372317,1033393
05/21/2020,W,244336,85164,329500
12/07/2005,W,922076,591500,1513576
04/12/2014,A,574622,524370,1098992
07/04/2023,U,281675,195858,477533
09/14/2022,W,531662,395177,926839
05/15/2019,W,810290,724761,1535051
02/05/2015,W,932148,780378,1712526
10/07/2020,W,333595,171757,505352
08/03/2009,W,945629,612506,1558135
02/16/2006,W,930188,613347,1543535
06/25/2021,W,343853,251904,595757
11/11/2010,W,882944,660145,1543089
01/24/2011,W,972155,654573,1626728
09/07/2009,U,463198,299374,762572
11/01/2018,W,866316,798312,1664628
03/13/2005,U,393195,205254,598449
05/20/2022,W,458078,321127,779205
05/02/2006,W,1045233,664946,1710179
10/11/2003,A,628499,366667,995166
07/19/2012,W,929760,737674,1667434
11/08/2018,W,841232,797333,1638565
09/28/2009,W,1025351,659478,1684829
02/19/2001,W,782447,457891,1240338
01/31/2016,U,358361,293056,651417
04/11/2003,W,912918,600667,1513585
02/26/2014,W,884516,728685,1613201
10/28/2012,U,454048,341936,795984
06/17/2004,W,938259,585309,1523568
10/08/2007,W,857090,563619,1420709
06/13/2020,A,206386,81727,288113
03/29/2018,W,692129,686014,1378143
08/02/2014,A,592660,571486,1164146
05/05/2022,W,464544,329241,793785
10/02/2001,W,1078342,658020,1736362
10/17/2021,U,219929,196386,416315
11/02/2021,W,463908,319122,783030
01/08/2016,W,841494,732495,1573989
06/08/2008,U,494209,281814,776023
01/03/2006,W,772171,540341,1312512
01/19/2002,A,556405,273407,829812
03/29/2024,W,480044,313507,793551
03/15/2012,W,1061219,763525,1824744
07/21/2006,W,931578,676491,1608069
04/25/2005,W,1003896,610619,1614515
04/27/2017,W,807318,748983,1556301
09/15/2012,A,707625,533074,1240699
07/05/2007,W,933153,655871,1589024
09/09/2021,W,471953,326271,798224
06/07/2001,W,1004748,646177,1650925
03/17/2017,W,804320,732007,1536327
07/07/2010,W,911994,656096,1568090
07/16/2017,U,371692,374578,746270
09/29/2015,W,914286,822855,1737141
03/23/2009,W,1007657,598236,1605893
07/20/2007,W,959207,655992,1615199
12/08/2003,W,975766,586022,1561788
12/04/2018,W,835143,745696,1580839
08/17/2001,W,929083,598538,1527621
07/14/2019,U,386786,362994,749780
11/17/2016,W,873693,811240,1684933
02/11/2008,W,818840,559672,1378512
08/28/2004,A,548649,297684,846333
07/27/2004,W,885055,590244,1475299
09/16/2017,A,517447,521275,1038722
02/03/2001,A,611703,263612,875315
07/24/2011,U,440442,346005,786447
09/10/2001,W,1075781,661092,1736873
09/16/2001,U,417392,191270,608662
03/14/2010,U,428683,273849,702532
02/02/2005,W,1046742,599354,1646096
08/07/2020,W,326107,164886,490993
12/07/2014,U,397656,334688,732344
06/17/2011,W,1038570,787772,1826342
12/25/2023,U,145433,80206,225639
04/17/2004,A,596237,331377,927614
08/21/2023,W,551302,343866,895168
12/24/2008,W,626374,339616,965990
12/11/2019,W,753922,692730,1446652
03/08/2017,W,858498,751336,1609834
05/17/2001,W,1006118,628882,1635000
08/20/2023,U,296344,239159,535503
09/20/2008,A,791707,447679,1239386
08/24/2014,U,432777,387171,819948
01/17/2024,W,466850,322741,789591
05/31/2018,W,819988,753062,1573050
04/19/2012,W,989282,743350,1732632
06/28/2015,U,439944,577866,1017810
02/16/2001,W,1033040,601418,1634458
10/23/2003,W,1008328,644198,1652526
08/15/2002,W,920323,599375,1519698
08/21/2009,W,946374,633411,1579785
03/31/2017,W,839312,737168,1576480
07/31/2009,W,997830,674810,1672640
04/26/2021,W,337128,176283,513411
06/27/2001,W,944274,634994,1579268
05/13/2001,U,422270,200996,623266
04/08/2001,U,437035,200720,637755
02/13/2019,W,795205,728764,1523969
08/01/2013,W,950707,753887,1704594
03/06/2007,W,1004928,611416,1616344
04/13/2002,A,631465,308737,940202
03/03/2024,U,298601,184885,483486
11/05/2014,W,990008,827900,1817908
04/29/2006,A,574038,343244,917282
03/05/2008,W,1059027,620660,1679687
05/30/2017,W,802596,722529,1525125
12/20/2012,W,876460,660268,1536728
03/06/2021,A,228890,124851,353741
05/16/2004,U,418466,214886,633352
07/21/2011,W,901635,693073,1594708
02/29/2004,U,413029,208258,621287
01/27/2016,W,882832,768241,1651073
11/06/2012,W,1050908,768986,1819894
02/04/2012,A,661534,418503,1080037
09/02/2015,W,882052,792561,1674613
09/15/2005,W,1070331,702096,1772427
09/05/2009,A,701349,428069,1129418
08/16/2006,W,878842,620892,1499734
04/20/2014,U,399289,333380,732669
03/18/2010,W,1036643,690207,1726850
10/17/2008,W,1162723,709679,1872402
05/04/2004,W,1025965,615968,1641933
01/11/2012,W,1036505,709539,1746044
05/14/2023,U,233363,156364,389727
08/04/2012,A,639837,540564,1180401
09/03/2008,W,1166955,710304,1877259
05/22/2003,W,967683,590893,1558576
09/23/2003,W,1023379,655433,1678812
01/12/2002,A,565955,266826,832781
05/23/2024,W,609570,457738,1067308
09/10/2008,W,1167063,719905,1886968
08/07/2005,U,457639,261349,718988
10/01/2019,W,905477,772082,1677559
12/12/2014,W,912339,773048,1685387
10/23/2005,U,421490,277349,698839
07/29/2007,U,457951,272684,730635
03/08/2024,W,488443,314783,803226
05/22/2009,W,1052067,637603,1689670
11/21/2004,U,427753,229287,657040
01/10/2022,W,273785,175964,449749
09/04/2019,W,861286,762868,1624154
12/21/2001,W,994499,569456,1563955
11/23/2019,A,468337,443394,911731
09/07/2008,U,529779,273883,803662
05/17/2013,W,966483,757439,1723922
05/29/2003,W,961715,595331,1557046
03/28/2012,W,1029545,735639,1765184
08/19/2018,U,380140,357318,737458
09/12/2008,W,1120112,700943,1821055
02/03/2012,W,1014951,714336,1729287
05/22/2006,W,996607,629775,1626382
07/16/2006,U,418278,308173,726451
08/10/2018,W,728844,757214,1486058
10/17/2019,W,787285,790202,1577487
08/10/2019,A,490001,428555,918556
03/20/2020,W,303882,152797,456679
06/27/2010,U,439815,441824,881639
07/25/2015,A,573827,539665,1113492
05/06/2020,W,248434,82526,330960
08/21/2008,W,1006682,679508,1686190
03/12/2001,W,979411,588857,1568268
06/12/2024,W,576142,423834,999976
06/30/2011,W,947943,753565,1701508
10/08/2023,U,253021,403385,656406
06/14/2019,W,786956,769162,1556118
06/14/2007,W,944081,653008,1597089
04/28/2023,W,503332,340242,843574
08/15/2023,W,500013,382517,882530
05/16/2015,A,561092,493377,1054469
01/21/2021,W,287899,144085,431984
08/30/2004,W,884633,567769,1452402
05/22/2014,W,908285,788319,1696604
06/13/2007,W,955467,654913,1610380
02/11/2018,U,294675,260148,554823
07/24/2023,W,474506,338496,813002
11/22/2016,W,837828,756704,1594532
01/06/2023,W,371923,258636,630559
